@relation abalone19
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@data
F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,positive
F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,negative
M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,positive
F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,negative
F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,negative
F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,negative
F,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,negative
M,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,negative
M,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,positive
F,0.515,0.425,0.135,0.712,0.2665,0.1605,0.25,negative
F,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,negative
F,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,negative
F,0.565,0.455,0.175,1.013,0.342,0.207,0.35,positive
M,0.645,0.515,0.24,1.5415,0.471,0.369,0.535,negative
M,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,positive
M,0.63,0.515,0.16,1.016,0.4215,0.244,0.355,positive
M,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,negative
F,0.67,0.54,0.165,1.5015,0.518,0.358,0.505,negative
M,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,positive
F,0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,negative
F,0.505,0.425,0.14,0.85,0.275,0.1625,0.285,positive
F,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,positive
F,0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,positive
F,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,positive
F,0.59,0.45,0.16,0.9,0.358,0.156,0.315,positive
I,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,positive
F,0.53,0.41,0.165,0.8115,0.24,0.169,0.24,positive
M,0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,negative
F,0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,negative
F,0.67,0.585,0.16,1.309,0.5445,0.2945,0.413,negative
M,0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,negative
M,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,negative
F,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,negative
I,0.385,0.3,0.09,0.247,0.1225,0.044,0.0675,negative
M,0.58,0.43,0.13,0.798,0.365,0.173,0.2285,negative
F,0.605,0.47,0.155,0.974,0.393,0.224,0.3345,negative
M,0.61,0.475,0.155,0.983,0.4565,0.228,0.266,negative
I,0.62,0.47,0.14,0.8565,0.3595,0.16,0.295,negative
F,0.69,0.55,0.2,1.569,0.687,0.3675,0.46,negative
F,0.72,0.525,0.18,1.445,0.631,0.3215,0.435,negative
M,0.39,0.28,0.125,0.564,0.3035,0.0955,0.143,negative
M,0.625,0.49,0.185,1.169,0.5275,0.2535,0.344,negative
M,0.635,0.495,0.195,1.172,0.445,0.3115,0.3475,negative
F,0.685,0.535,0.175,1.5845,0.7175,0.3775,0.4215,negative
M,0.695,0.53,0.19,1.726,0.7625,0.436,0.455,negative
M,0.72,0.56,0.18,1.5865,0.691,0.375,0.4425,negative
M,0.62,0.47,0.15,1.309,0.587,0.4405,0.325,negative
F,0.57,0.435,0.15,0.8295,0.3875,0.156,0.245,negative
M,0.505,0.385,0.13,0.6435,0.3135,0.149,0.1515,negative
M,0.645,0.495,0.15,1.2095,0.603,0.2225,0.339,negative
M,0.775,0.57,0.22,2.032,0.735,0.4755,0.6585,negative
M,0.5,0.38,0.155,0.66,0.2655,0.1365,0.215,positive
