@relation abalone9-18
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@data
M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,positive
M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,negative
M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,positive
F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,negative
F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,positive
M,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,positive
F,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,positive
F,0.575,0.45,0.17,1.0475,0.3775,0.1705,0.385,positive
F,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,positive
M,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,positive
F,0.565,0.455,0.15,0.8205,0.365,0.159,0.26,positive
I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,positive
I,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,positive
I,0.485,0.38,0.14,0.673,0.2175,0.13,0.195,positive
I,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,positive
F,0.445,0.33,0.105,0.4525,0.18,0.103,0.123,negative
M,0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,positive
M,0.655,0.52,0.165,1.4095,0.586,0.291,0.405,negative
F,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,negative
M,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,negative
F,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,negative
I,0.53,0.415,0.13,0.694,0.3905,0.111,0.167,negative
M,0.65,0.51,0.19,1.542,0.7155,0.3735,0.375,negative
F,0.745,0.57,0.215,2.25,1.1565,0.446,0.558,negative
F,0.605,0.485,0.16,1.201,0.417,0.2875,0.38,negative
