@relation abalone9-18
@attribute Sex {M, F, I}
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.002, 2.8255]
@attribute Shucked_weight real [0.001, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Class {positive, negative}
@data
M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,positive
F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,negative
M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,negative
F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,positive
F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,negative
F,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,positive
F,0.645,0.525,0.19,1.8085,0.7035,0.3885,0.395,positive
M,0.605,0.49,0.18,1.227,0.48,0.287,0.35,positive
F,0.57,0.45,0.175,0.9555,0.38,0.1665,0.295,positive
M,0.565,0.455,0.17,0.9065,0.342,0.156,0.32,positive
I,0.485,0.39,0.125,0.591,0.287,0.141,0.12,negative
I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,positive
I,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,positive
I,0.485,0.38,0.14,0.673,0.2175,0.13,0.195,positive
I,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,positive
I,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,positive
M,0.38,0.29,0.12,0.283,0.1175,0.0655,0.085,negative
M,0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,positive
F,0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,negative
I,0.48,0.37,0.125,0.5435,0.244,0.101,0.165,negative
F,0.595,0.455,0.16,1.04,0.452,0.2655,0.288,negative
I,0.53,0.4,0.145,0.555,0.1935,0.1305,0.195,negative
I,0.575,0.445,0.17,0.8015,0.3475,0.1465,0.25,negative
M,0.515,0.4,0.14,0.6335,0.288,0.145,0.168,negative
M,0.5,0.39,0.135,0.7815,0.361,0.1575,0.2385,negative
M,0.615,0.48,0.19,1.36,0.5305,0.2375,0.47,positive
M,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,positive
F,0.55,0.425,0.145,0.797,0.297,0.15,0.265,negative
F,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,positive
M,0.7,0.53,0.19,1.3185,0.548,0.233,0.42,positive
M,0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,positive
M,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,positive
F,0.465,0.35,0.13,0.494,0.1945,0.103,0.155,positive
F,0.635,0.5,0.18,1.312,0.529,0.2485,0.485,positive
M,0.5,0.355,0.14,0.528,0.2125,0.149,0.14,negative
M,0.645,0.485,0.155,1.489,0.5915,0.312,0.38,positive
M,0.645,0.48,0.15,1.192,0.6055,0.2595,0.285,negative
I,0.525,0.375,0.12,0.6315,0.3045,0.114,0.19,negative
M,0.575,0.48,0.15,0.9465,0.4355,0.2605,0.2505,negative
M,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185,negative
F,0.545,0.405,0.175,0.98,0.2585,0.207,0.38,positive
M,0.52,0.435,0.195,0.973,0.2985,0.2135,0.355,positive
M,0.635,0.51,0.155,1.156,0.428,0.289,0.315,positive
M,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39,positive
F,0.5,0.405,0.14,0.6735,0.265,0.124,0.25,positive
F,0.655,0.53,0.19,1.428,0.493,0.318,0.565,positive
M,0.545,0.41,0.145,0.873,0.3035,0.196,0.31,positive
M,0.605,0.475,0.16,1.616,0.5495,0.332,0.34,positive
M,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495,positive
F,0.655,0.5,0.18,1.4155,0.508,0.314,0.445,positive
F,0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,positive
