@relation ecoli-0-1-3-7_vs_2-6
@attribute Mcg real [0.0, 89.0]
@attribute Gvh real [1.0, 88.0]
@attribute Lip real [1.0, 48.0]
@attribute Chg real [1.0, 5.0]
@attribute Aac real [0.0, 88.0]
@attribute Alm1 real [1.0, 94.0]
@attribute Alm2 real [0.0, 99.0]
@attribute Class {positive, negative}
@data
7.0,4.0,48.0,5.0,54.0,35.0,44.0,negative
56.0,4.0,48.0,5.0,49.0,37.0,46.0,negative
59.0,49.0,48.0,5.0,52.0,45.0,36.0,negative
23.0,32.0,48.0,5.0,55.0,25.0,35.0,negative
67.0,39.0,48.0,5.0,36.0,38.0,46.0,negative
29.0,28.0,48.0,5.0,44.0,23.0,34.0,negative
21.0,34.0,48.0,5.0,51.0,28.0,39.0,negative
2.0,44.0,48.0,5.0,46.0,51.0,57.0,negative
42.0,4.0,48.0,5.0,56.0,18.0,3.0,negative
42.0,24.0,48.0,5.0,57.0,27.0,37.0,negative
39.0,32.0,48.0,5.0,46.0,24.0,35.0,negative
22.0,43.0,48.0,5.0,48.0,16.0,28.0,negative
25.0,4.0,48.0,5.0,46.0,44.0,52.0,negative
44.0,27.0,48.0,5.0,55.0,52.0,58.0,negative
41.0,57.0,48.0,5.0,39.0,21.0,32.0,negative
4.0,45.0,48.0,5.0,38.0,22.0,0.0,negative
31.0,23.0,48.0,5.0,73.0,5.0,14.0,negative
51.0,54.0,48.0,5.0,41.0,34.0,43.0,negative
3.0,16.0,48.0,5.0,56.0,11.0,23.0,negative
36.0,39.0,48.0,5.0,48.0,22.0,23.0,negative
29.0,37.0,48.0,5.0,48.0,44.0,52.0,negative
25.0,4.0,48.0,5.0,47.0,33.0,42.0,negative
21.0,51.0,48.0,5.0,5.0,32.0,41.0,negative
53.0,38.0,48.0,5.0,44.0,26.0,36.0,negative
56.0,51.0,48.0,5.0,34.0,37.0,46.0,negative
24.0,35.0,48.0,5.0,31.0,19.0,31.0,negative
36.0,54.0,48.0,5.0,41.0,38.0,46.0,negative
32.0,42.0,48.0,5.0,35.0,28.0,38.0,negative
38.0,46.0,48.0,5.0,48.0,22.0,29.0,negative
4.0,5.0,48.0,5.0,45.0,39.0,47.0,negative
28.0,38.0,48.0,5.0,5.0,33.0,42.0,negative
61.0,45.0,48.0,5.0,48.0,35.0,41.0,negative
17.0,38.0,48.0,5.0,45.0,42.0,5.0,negative
44.0,35.0,48.0,5.0,55.0,55.0,61.0,negative
43.0,4.0,48.0,5.0,39.0,28.0,39.0,negative
23.0,33.0,48.0,5.0,43.0,33.0,43.0,negative
29.0,3.0,48.0,5.0,45.0,3.0,17.0,negative
22.0,36.0,48.0,5.0,35.0,39.0,47.0,negative
23.0,58.0,48.0,5.0,37.0,53.0,59.0,negative
47.0,47.0,48.0,5.0,22.0,16.0,26.0,negative
54.0,47.0,48.0,5.0,28.0,33.0,42.0,negative
51.0,37.0,48.0,5.0,35.0,36.0,45.0,negative
4.0,35.0,48.0,5.0,45.0,33.0,42.0,negative
44.0,34.0,48.0,5.0,3.0,33.0,43.0,negative
42.0,38.0,48.0,5.0,54.0,34.0,43.0,negative
44.0,56.0,48.0,5.0,5.0,46.0,54.0,negative
52.0,36.0,48.0,5.0,41.0,28.0,38.0,negative
18.0,3.0,48.0,5.0,46.0,24.0,35.0,negative
47.0,29.0,48.0,5.0,51.0,33.0,43.0,negative
24.0,43.0,48.0,5.0,54.0,52.0,59.0,negative
25.0,37.0,48.0,5.0,41.0,33.0,42.0,negative
52.0,57.0,48.0,5.0,42.0,47.0,54.0,negative
25.0,37.0,48.0,5.0,43.0,26.0,36.0,negative
35.0,48.0,48.0,5.0,56.0,4.0,48.0,negative
26.0,26.0,48.0,5.0,34.0,25.0,35.0,negative
37.0,5.0,48.0,5.0,42.0,36.0,45.0,negative
44.0,42.0,48.0,5.0,42.0,25.0,2.0,negative
24.0,43.0,48.0,5.0,37.0,28.0,38.0,negative
42.0,3.0,48.0,5.0,48.0,26.0,36.0,negative
48.0,42.0,48.0,5.0,45.0,25.0,35.0,negative
41.0,48.0,48.0,5.0,51.0,44.0,51.0,negative
29.0,41.0,48.0,5.0,48.0,38.0,46.0,negative
34.0,28.0,48.0,5.0,41.0,35.0,44.0,negative
41.0,43.0,48.0,5.0,45.0,31.0,41.0,negative
29.0,47.0,48.0,5.0,41.0,23.0,34.0,negative
34.0,55.0,48.0,5.0,58.0,31.0,41.0,negative
36.0,56.0,48.0,5.0,43.0,45.0,53.0,negative
4.0,46.0,48.0,5.0,52.0,49.0,56.0,negative
5.0,49.0,48.0,5.0,49.0,46.0,53.0,negative
52.0,44.0,48.0,5.0,37.0,36.0,42.0,negative
5.0,51.0,48.0,5.0,27.0,23.0,34.0,negative
53.0,42.0,48.0,5.0,16.0,29.0,39.0,negative
4.0,42.0,48.0,5.0,37.0,27.0,27.0,negative
3.0,45.0,48.0,5.0,36.0,21.0,32.0,negative
64.0,76.0,48.0,5.0,45.0,35.0,38.0,negative
35.0,37.0,48.0,5.0,3.0,34.0,43.0,negative
65.0,55.0,48.0,5.0,34.0,37.0,28.0,negative
51.0,46.0,48.0,5.0,58.0,31.0,41.0,negative
38.0,4.0,48.0,5.0,63.0,25.0,35.0,negative
38.0,26.0,48.0,5.0,54.0,16.0,28.0,negative
33.0,47.0,48.0,5.0,53.0,18.0,29.0,negative
24.0,34.0,48.0,5.0,38.0,3.0,4.0,negative
26.0,5.0,48.0,5.0,44.0,32.0,41.0,negative
43.0,32.0,48.0,5.0,33.0,45.0,52.0,negative
49.0,43.0,48.0,5.0,49.0,3.0,4.0,negative
32.0,33.0,48.0,5.0,6.0,6.0,2.0,negative
34.0,35.0,48.0,5.0,51.0,49.0,56.0,negative
35.0,34.0,48.0,5.0,46.0,3.0,27.0,negative
38.0,44.0,48.0,5.0,43.0,2.0,31.0,negative
41.0,51.0,48.0,5.0,58.0,2.0,31.0,negative
25.0,51.0,48.0,5.0,37.0,42.0,5.0,negative
29.0,28.0,48.0,5.0,5.0,42.0,5.0,negative
24.0,41.0,48.0,5.0,49.0,23.0,34.0,negative
17.0,39.0,48.0,5.0,53.0,3.0,39.0,negative
4.0,31.0,48.0,5.0,41.0,29.0,39.0,negative
61.0,36.0,48.0,5.0,49.0,35.0,44.0,negative
34.0,51.0,48.0,5.0,44.0,37.0,46.0,negative
4.0,46.0,48.0,5.0,42.0,35.0,44.0,negative
23.0,34.0,48.0,5.0,43.0,26.0,37.0,negative
37.0,44.0,48.0,5.0,42.0,39.0,47.0,negative
0.0,38.0,48.0,5.0,42.0,48.0,55.0,negative
39.0,31.0,48.0,5.0,38.0,34.0,43.0,negative
27.0,3.0,48.0,5.0,71.0,28.0,39.0,negative
17.0,52.0,48.0,5.0,49.0,37.0,46.0,negative
36.0,42.0,48.0,5.0,53.0,32.0,41.0,negative
3.0,37.0,48.0,5.0,43.0,18.0,3.0,negative
4.0,41.0,48.0,5.0,55.0,22.0,33.0,negative
22.0,34.0,48.0,5.0,42.0,29.0,39.0,negative
44.0,35.0,48.0,5.0,44.0,52.0,59.0,negative
27.0,42.0,48.0,5.0,37.0,38.0,43.0,negative
16.0,43.0,48.0,5.0,54.0,27.0,37.0,negative
44.0,52.0,48.0,5.0,43.0,47.0,54.0,negative
63.0,47.0,48.0,5.0,51.0,82.0,84.0,negative
23.0,48.0,48.0,5.0,59.0,88.0,89.0,negative
34.0,49.0,48.0,5.0,58.0,85.0,8.0,negative
43.0,4.0,48.0,5.0,58.0,75.0,78.0,negative
46.0,61.0,48.0,5.0,48.0,86.0,87.0,negative
52.0,39.0,48.0,5.0,65.0,71.0,73.0,negative
12.0,67.0,48.0,5.0,74.0,58.0,63.0,negative
73.0,36.0,48.0,5.0,53.0,91.0,92.0,negative
84.0,44.0,48.0,5.0,48.0,71.0,74.0,negative
48.0,45.0,48.0,5.0,6.0,78.0,8.0,negative
54.0,49.0,48.0,5.0,4.0,87.0,88.0,negative
48.0,41.0,48.0,5.0,51.0,9.0,88.0,negative
5.0,66.0,48.0,5.0,31.0,92.0,92.0,negative
72.0,46.0,48.0,5.0,51.0,66.0,7.0,negative
47.0,55.0,48.0,5.0,58.0,71.0,75.0,negative
33.0,56.0,48.0,5.0,33.0,78.0,8.0,negative
54.0,57.0,48.0,5.0,56.0,81.0,83.0,negative
47.0,59.0,48.0,5.0,52.0,76.0,79.0,negative
63.0,5.0,48.0,5.0,59.0,85.0,86.0,negative
49.0,42.0,48.0,5.0,53.0,79.0,81.0,negative
31.0,5.0,48.0,5.0,57.0,84.0,85.0,negative
74.0,44.0,48.0,5.0,55.0,88.0,89.0,negative
33.0,45.0,48.0,5.0,45.0,88.0,89.0,negative
45.0,4.0,48.0,5.0,61.0,74.0,77.0,negative
71.0,4.0,48.0,5.0,71.0,7.0,74.0,negative
5.0,37.0,48.0,5.0,66.0,64.0,69.0,negative
66.0,53.0,48.0,5.0,59.0,66.0,66.0,negative
6.0,61.0,48.0,5.0,54.0,67.0,71.0,negative
83.0,37.0,48.0,5.0,61.0,71.0,74.0,negative
34.0,51.0,48.0,5.0,67.0,9.0,9.0,negative
63.0,54.0,48.0,5.0,65.0,79.0,81.0,negative
7.0,4.0,48.0,5.0,56.0,86.0,83.0,negative
6.0,5.0,1.0,5.0,54.0,77.0,8.0,negative
16.0,51.0,48.0,5.0,33.0,39.0,48.0,negative
2.0,46.0,48.0,5.0,57.0,78.0,81.0,negative
89.0,55.0,48.0,5.0,51.0,72.0,76.0,negative
7.0,46.0,48.0,5.0,56.0,78.0,73.0,negative
12.0,43.0,48.0,5.0,63.0,7.0,74.0,negative
33.0,37.0,48.0,5.0,46.0,65.0,69.0,negative
63.0,65.0,48.0,5.0,66.0,67.0,71.0,negative
41.0,51.0,48.0,5.0,53.0,75.0,78.0,negative
34.0,67.0,48.0,5.0,52.0,76.0,79.0,negative
58.0,34.0,48.0,5.0,56.0,87.0,81.0,negative
59.0,56.0,48.0,5.0,55.0,8.0,82.0,negative
51.0,4.0,48.0,5.0,57.0,62.0,67.0,negative
5.0,57.0,48.0,5.0,71.0,61.0,66.0,negative
6.0,46.0,48.0,5.0,45.0,81.0,83.0,negative
37.0,47.0,48.0,5.0,39.0,76.0,79.0,negative
36.0,47.0,48.0,5.0,51.0,69.0,72.0,negative
39.0,41.0,48.0,5.0,52.0,72.0,75.0,negative
31.0,44.0,48.0,5.0,5.0,79.0,82.0,negative
61.0,66.0,48.0,5.0,46.0,87.0,88.0,negative
48.0,49.0,48.0,5.0,52.0,77.0,71.0,negative
11.0,5.0,48.0,5.0,58.0,72.0,68.0,negative
31.0,36.0,48.0,5.0,58.0,94.0,94.0,negative
68.0,51.0,48.0,5.0,71.0,75.0,78.0,negative
52.0,54.0,48.0,5.0,62.0,76.0,79.0,negative
46.0,59.0,48.0,5.0,36.0,76.0,23.0,negative
36.0,45.0,48.0,5.0,38.0,79.0,17.0,negative
1.0,49.0,48.0,5.0,41.0,67.0,21.0,negative
3.0,51.0,48.0,5.0,42.0,61.0,34.0,negative
61.0,47.0,48.0,5.0,0.0,8.0,32.0,negative
63.0,75.0,48.0,5.0,64.0,73.0,66.0,negative
71.0,52.0,48.0,5.0,64.0,1.0,99.0,negative
75.0,55.0,1.0,1.0,4.0,47.0,3.0,negative
7.0,39.0,1.0,5.0,51.0,82.0,84.0,negative
74.0,49.0,48.0,5.0,42.0,54.0,36.0,negative
7.0,61.0,48.0,5.0,56.0,52.0,43.0,negative
73.0,78.0,48.0,5.0,58.0,51.0,31.0,negative
65.0,57.0,48.0,5.0,47.0,47.0,51.0,negative
72.0,86.0,48.0,5.0,17.0,55.0,21.0,negative
67.0,7.0,48.0,5.0,46.0,45.0,33.0,negative
67.0,61.0,48.0,5.0,51.0,37.0,38.0,negative
63.0,1.0,48.0,5.0,35.0,51.0,49.0,negative
71.0,71.0,48.0,5.0,4.0,54.0,39.0,negative
66.0,74.0,48.0,5.0,31.0,38.0,43.0,negative
67.0,81.0,48.0,5.0,25.0,42.0,25.0,negative
64.0,72.0,48.0,5.0,49.0,42.0,19.0,negative
68.0,82.0,48.0,5.0,38.0,65.0,56.0,negative
32.0,39.0,48.0,5.0,53.0,28.0,38.0,negative
74.0,82.0,48.0,5.0,49.0,49.0,41.0,negative
63.0,71.0,48.0,5.0,6.0,4.0,39.0,negative
71.0,86.0,48.0,5.0,4.0,54.0,32.0,negative
68.0,78.0,48.0,5.0,43.0,44.0,42.0,negative
75.0,84.0,48.0,5.0,35.0,52.0,33.0,negative
63.0,65.0,48.0,5.0,39.0,44.0,35.0,negative
69.0,67.0,48.0,5.0,3.0,39.0,24.0,negative
7.0,71.0,48.0,5.0,42.0,84.0,85.0,negative
69.0,8.0,48.0,5.0,46.0,57.0,26.0,negative
64.0,66.0,48.0,5.0,41.0,39.0,2.0,negative
63.0,8.0,48.0,5.0,46.0,31.0,29.0,negative
66.0,71.0,48.0,5.0,41.0,5.0,35.0,negative
69.0,59.0,48.0,5.0,46.0,44.0,52.0,negative
68.0,67.0,48.0,5.0,49.0,4.0,34.0,negative
62.0,78.0,48.0,5.0,47.0,49.0,54.0,negative
76.0,73.0,48.0,5.0,44.0,39.0,39.0,negative
64.0,81.0,48.0,5.0,37.0,39.0,44.0,negative
29.0,39.0,48.0,5.0,52.0,4.0,48.0,negative
62.0,83.0,48.0,5.0,46.0,36.0,4.0,negative
56.0,54.0,48.0,5.0,43.0,37.0,3.0,negative
69.0,66.0,48.0,5.0,41.0,5.0,25.0,negative
69.0,65.0,48.0,5.0,63.0,48.0,41.0,negative
74.0,56.0,48.0,5.0,47.0,68.0,3.0,negative
71.0,57.0,48.0,5.0,48.0,35.0,32.0,negative
61.0,6.0,48.0,5.0,44.0,39.0,38.0,negative
59.0,61.0,48.0,5.0,42.0,42.0,37.0,negative
74.0,74.0,48.0,5.0,31.0,53.0,52.0,negative
85.0,53.0,48.0,5.0,53.0,52.0,35.0,positive
63.0,49.0,48.0,5.0,54.0,76.0,79.0,positive
77.0,57.0,1.0,5.0,37.0,54.0,1.0,positive
66.0,49.0,1.0,5.0,54.0,56.0,36.0,positive
67.0,55.0,1.0,5.0,66.0,58.0,16.0,positive
68.0,49.0,1.0,5.0,62.0,55.0,28.0,positive
76.98142301739131,56.99628460347826,1.0,5.0,37.0538732495652,54.007430793043476,1.027865473913037,positive
66.48458370518271,51.907502231096274,1.0,5.0,59.815004462192555,56.96916741036543,26.308325896345742,positive
66.87401617403941,54.244097044236455,1.0,5.0,64.48819408847291,57.748032348078816,18.519676519211828,positive
34.58762291971671,28.43247780304648,1.0,5.0,59.62379467273116,68.09565843484233,11.749196448487437,positive
70.23822069542769,55.647644139085536,1.0,5.0,56.6091599832597,56.70471172182892,11.142668956858465,positive
17.87093286494445,14.730272840118403,1.0,5.0,56.33526548162842,73.30249632075501,9.556843654418945,positive
66.73032324410543,53.381939464632644,1.0,5.0,62.76387892926529,57.460646488210884,21.39353511789118,positive
76.01568635840071,56.80313727168014,1.0,5.0,39.854509560637936,54.393725456639714,2.4764704623989324,positive
72.9947299234515,56.198945984690305,1.0,5.0,48.61528322199064,55.6021080306194,7.007905114822741,positive
27.23623489530594,22.4067499141852,1.0,5.0,58.17761997940445,70.38543503260962,10.785079986269633,positive
67.51688547871105,51.898687127733695,1.0,5.0,63.932458085155794,56.44934356386685,22.202625744532618,positive
66.4886439971874,51.93186398312437,1.0,5.0,59.863727966248746,56.97728799437479,26.227120056252094,positive
66.31216822212463,50.87300933274774,1.0,5.0,57.746018665495484,56.624336444249245,29.756635557507533,positive
18.974747549562913,15.635038975051572,1.0,5.0,56.552409354012376,72.9586851894804,9.701606236008251,positive
72.49015421620203,56.09803084324041,1.0,5.0,50.07855277301411,55.80393831351919,7.764768675696953,positive
66.72257206468991,53.33543238813948,1.0,5.0,62.670864776278954,57.44514412937983,21.548558706201742,positive
67.81430091091161,50.11419453453031,1.0,5.0,62.742796356353544,55.557097267265156,25.771610930939367,positive
67.34262836587746,52.94422980473526,1.0,5.0,64.62948653649018,56.97211490236763,20.111540390529488,positive
67.38326178498859,52.700429290068485,1.0,5.0,64.46695286004565,56.85021464503424,20.59914141986303,positive
16.467858530902625,13.580211910575926,1.0,5.0,56.05925085853822,73.73951947398115,9.372833905692147,positive
