@relation ecoli4
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}
@data
0.49,0.29,0.48,0.5,0.56,0.24,0.35,negative
0.07,0.4,0.48,0.5,0.54,0.35,0.44,negative
0.56,0.4,0.48,0.5,0.49,0.37,0.46,negative
0.23,0.32,0.48,0.5,0.55,0.25,0.35,negative
0.67,0.39,0.48,0.5,0.36,0.38,0.46,negative
0.29,0.28,0.48,0.5,0.44,0.23,0.34,negative
0.21,0.34,0.48,0.5,0.51,0.28,0.39,negative
0.2,0.44,0.48,0.5,0.46,0.51,0.57,negative
0.42,0.4,0.48,0.5,0.56,0.18,0.3,negative
0.42,0.24,0.48,0.5,0.57,0.27,0.37,negative
0.25,0.48,0.48,0.5,0.44,0.17,0.29,negative
0.39,0.32,0.48,0.5,0.46,0.24,0.35,negative
0.51,0.5,0.48,0.5,0.46,0.32,0.35,negative
0.22,0.43,0.48,0.5,0.48,0.16,0.28,negative
0.25,0.4,0.48,0.5,0.46,0.44,0.52,negative
0.44,0.27,0.48,0.5,0.55,0.52,0.58,negative
0.23,0.4,0.48,0.5,0.39,0.28,0.38,negative
0.4,0.45,0.48,0.5,0.38,0.22,0.0,negative
0.31,0.23,0.48,0.5,0.73,0.05,0.14,negative
0.51,0.54,0.48,0.5,0.41,0.34,0.43,negative
0.3,0.16,0.48,0.5,0.56,0.11,0.23,negative
0.36,0.39,0.48,0.5,0.48,0.22,0.23,negative
0.29,0.37,0.48,0.5,0.48,0.44,0.52,negative
0.43,0.37,0.48,0.5,0.53,0.35,0.44,negative
0.43,0.39,0.48,0.5,0.47,0.31,0.41,negative
0.34,0.33,0.48,0.5,0.38,0.35,0.44,negative
0.56,0.51,0.48,0.5,0.34,0.37,0.46,negative
0.24,0.35,0.48,0.5,0.31,0.19,0.31,negative
0.36,0.54,0.48,0.5,0.41,0.38,0.46,negative
0.29,0.52,0.48,0.5,0.42,0.29,0.39,negative
0.65,0.47,0.48,0.5,0.59,0.3,0.4,negative
0.32,0.42,0.48,0.5,0.35,0.28,0.38,negative
0.38,0.46,0.48,0.5,0.48,0.22,0.29,negative
0.33,0.45,0.48,0.5,0.52,0.32,0.41,negative
0.3,0.37,0.48,0.5,0.59,0.41,0.49,negative
0.4,0.5,0.48,0.5,0.45,0.39,0.47,negative
0.28,0.38,0.48,0.5,0.5,0.33,0.42,negative
0.61,0.45,0.48,0.5,0.48,0.35,0.41,negative
0.17,0.38,0.48,0.5,0.45,0.42,0.5,negative
0.44,0.35,0.48,0.5,0.55,0.55,0.61,negative
0.43,0.4,0.48,0.5,0.39,0.28,0.39,negative
0.42,0.35,0.48,0.5,0.58,0.15,0.27,negative
0.23,0.33,0.48,0.5,0.43,0.33,0.43,negative
0.37,0.52,0.48,0.5,0.42,0.42,0.36,negative
0.22,0.36,0.48,0.5,0.35,0.39,0.47,negative
0.23,0.58,0.48,0.5,0.37,0.53,0.59,negative
0.47,0.47,0.48,0.5,0.22,0.16,0.26,negative
0.54,0.47,0.48,0.5,0.28,0.33,0.42,negative
0.51,0.37,0.48,0.5,0.35,0.36,0.45,negative
0.4,0.35,0.48,0.5,0.45,0.33,0.42,negative
0.42,0.38,0.48,0.5,0.54,0.34,0.43,negative
0.44,0.56,0.48,0.5,0.5,0.46,0.54,negative
0.52,0.36,0.48,0.5,0.41,0.28,0.38,negative
0.36,0.41,0.48,0.5,0.48,0.47,0.54,negative
0.18,0.3,0.48,0.5,0.46,0.24,0.35,negative
0.24,0.43,0.48,0.5,0.54,0.52,0.59,negative
0.25,0.37,0.48,0.5,0.41,0.33,0.42,negative
0.52,0.57,0.48,0.5,0.42,0.47,0.54,negative
0.25,0.37,0.48,0.5,0.43,0.26,0.36,negative
0.35,0.48,0.48,0.5,0.56,0.4,0.48,negative
0.26,0.26,0.48,0.5,0.34,0.25,0.35,negative
0.44,0.51,0.48,0.5,0.47,0.26,0.36,negative
0.37,0.5,0.48,0.5,0.42,0.36,0.45,negative
0.44,0.42,0.48,0.5,0.42,0.25,0.2,negative
0.41,0.48,0.48,0.5,0.51,0.44,0.51,negative
0.44,0.28,0.48,0.5,0.43,0.27,0.37,negative
0.34,0.28,0.48,0.5,0.41,0.35,0.44,negative
0.29,0.47,0.48,0.5,0.41,0.23,0.34,negative
0.34,0.55,0.48,0.5,0.58,0.31,0.41,negative
0.4,0.46,0.48,0.5,0.52,0.49,0.56,negative
0.5,0.49,0.48,0.5,0.49,0.46,0.53,negative
0.5,0.51,0.48,0.5,0.27,0.23,0.34,negative
0.53,0.42,0.48,0.5,0.16,0.29,0.39,negative
0.34,0.46,0.48,0.5,0.52,0.35,0.44,negative
0.4,0.42,0.48,0.5,0.37,0.27,0.27,negative
0.3,0.45,0.48,0.5,0.36,0.21,0.32,negative
0.31,0.47,0.48,0.5,0.29,0.28,0.39,negative
0.64,0.76,0.48,0.5,0.45,0.35,0.38,negative
0.35,0.37,0.48,0.5,0.3,0.34,0.43,negative
0.57,0.54,0.48,0.5,0.37,0.28,0.33,negative
0.65,0.55,0.48,0.5,0.34,0.37,0.28,negative
0.51,0.46,0.48,0.5,0.58,0.31,0.41,negative
0.33,0.47,0.48,0.5,0.53,0.18,0.29,negative
0.26,0.5,0.48,0.5,0.44,0.32,0.41,negative
0.44,0.49,0.48,0.5,0.39,0.38,0.4,negative
0.43,0.32,0.48,0.5,0.33,0.45,0.52,negative
0.47,0.28,0.48,0.5,0.56,0.2,0.25,negative
0.32,0.33,0.48,0.5,0.6,0.06,0.2,negative
0.34,0.35,0.48,0.5,0.51,0.49,0.56,negative
0.35,0.34,0.48,0.5,0.46,0.3,0.27,negative
0.38,0.3,0.48,0.5,0.43,0.29,0.39,negative
0.38,0.44,0.48,0.5,0.43,0.2,0.31,negative
0.34,0.42,0.48,0.5,0.41,0.34,0.43,negative
0.51,0.49,0.48,0.5,0.53,0.14,0.26,negative
0.25,0.51,0.48,0.5,0.37,0.42,0.5,negative
0.29,0.28,0.48,0.5,0.5,0.42,0.5,negative
0.25,0.26,0.48,0.5,0.39,0.32,0.42,negative
0.24,0.41,0.48,0.5,0.49,0.23,0.34,negative
0.17,0.39,0.48,0.5,0.53,0.3,0.39,negative
0.04,0.31,0.48,0.5,0.41,0.29,0.39,negative
0.61,0.36,0.48,0.5,0.49,0.35,0.44,negative
0.34,0.51,0.48,0.5,0.44,0.37,0.46,negative
0.28,0.33,0.48,0.5,0.45,0.22,0.33,negative
0.4,0.46,0.48,0.5,0.42,0.35,0.44,negative
0.23,0.34,0.48,0.5,0.43,0.26,0.37,negative
0.0,0.38,0.48,0.5,0.42,0.48,0.55,negative
0.39,0.31,0.48,0.5,0.38,0.34,0.43,negative
0.27,0.3,0.48,0.5,0.71,0.28,0.39,negative
0.17,0.52,0.48,0.5,0.49,0.37,0.46,negative
0.36,0.42,0.48,0.5,0.53,0.32,0.41,negative
0.3,0.37,0.48,0.5,0.43,0.18,0.3,negative
0.26,0.4,0.48,0.5,0.36,0.26,0.37,negative
0.22,0.34,0.48,0.5,0.42,0.29,0.39,negative
0.44,0.35,0.48,0.5,0.44,0.52,0.59,negative
0.27,0.42,0.48,0.5,0.37,0.38,0.43,negative
0.16,0.43,0.48,0.5,0.54,0.27,0.37,negative
0.06,0.61,0.48,0.5,0.49,0.92,0.37,negative
0.44,0.52,0.48,0.5,0.43,0.47,0.54,negative
0.63,0.47,0.48,0.5,0.51,0.82,0.84,negative
0.23,0.48,0.48,0.5,0.59,0.88,0.89,negative
0.34,0.49,0.48,0.5,0.58,0.85,0.8,negative
0.43,0.4,0.48,0.5,0.58,0.75,0.78,negative
0.46,0.61,0.48,0.5,0.48,0.86,0.87,negative
0.27,0.35,0.48,0.5,0.51,0.77,0.79,negative
0.52,0.39,0.48,0.5,0.65,0.71,0.73,negative
0.29,0.47,0.48,0.5,0.71,0.65,0.69,negative
0.12,0.67,0.48,0.5,0.74,0.58,0.63,negative
0.4,0.5,0.48,0.5,0.65,0.82,0.84,negative
0.84,0.44,0.48,0.5,0.48,0.71,0.74,negative
0.48,0.45,0.48,0.5,0.6,0.78,0.8,negative
0.54,0.49,0.48,0.5,0.4,0.87,0.88,negative
0.5,0.66,0.48,0.5,0.31,0.92,0.92,negative
0.47,0.55,0.48,0.5,0.58,0.71,0.75,negative
0.33,0.56,0.48,0.5,0.33,0.78,0.8,negative
0.64,0.58,0.48,0.5,0.48,0.78,0.73,negative
0.54,0.57,0.48,0.5,0.56,0.81,0.83,negative
0.47,0.59,0.48,0.5,0.52,0.76,0.79,negative
0.63,0.5,0.48,0.5,0.59,0.85,0.86,negative
0.49,0.42,0.48,0.5,0.53,0.79,0.81,negative
0.31,0.5,0.48,0.5,0.57,0.84,0.85,negative
0.74,0.44,0.48,0.5,0.55,0.88,0.89,negative
0.45,0.4,0.48,0.5,0.61,0.74,0.77,negative
0.71,0.4,0.48,0.5,0.71,0.7,0.74,negative
0.5,0.37,0.48,0.5,0.66,0.64,0.69,negative
0.66,0.53,0.48,0.5,0.59,0.66,0.66,negative
0.83,0.37,0.48,0.5,0.61,0.71,0.74,negative
0.34,0.51,0.48,0.5,0.67,0.9,0.9,negative
0.7,0.4,0.48,0.5,0.56,0.86,0.83,negative
0.6,0.5,1.0,0.5,0.54,0.77,0.8,negative
0.16,0.51,0.48,0.5,0.33,0.39,0.48,negative
0.7,0.46,0.48,0.5,0.56,0.78,0.73,negative
0.12,0.43,0.48,0.5,0.63,0.7,0.74,negative
0.63,0.65,0.48,0.5,0.66,0.67,0.71,negative
0.41,0.51,0.48,0.5,0.53,0.75,0.78,negative
0.34,0.67,0.48,0.5,0.52,0.76,0.79,negative
